dataset_id,method_id,observable_type,run_id,condition_label,value,value_sigma,units,source,notes
nature2018_li,ToS,period_T,extdata_fig5_15,near,431.48802,,s,source_data_extdata_fig5.xlsx/c/row16,"condition=-0.1 V, time=99.1d"
nature2018_li,ToS,period_T,extdata_fig5_15,far,433.1891,,s,source_data_extdata_fig5.xlsx/c/row16,"condition=-0.1 V, time=102.1d"
nature2018_li,ToS,period_T,extdata_fig5_16,near,431.48787,,s,source_data_extdata_fig5.xlsx/c/row17,"condition=-0.1 V, time=105.0d"
nature2018_li,ToS,period_T,extdata_fig5_16,far,433.18915,,s,source_data_extdata_fig5.xlsx/c/row17,"condition=-0.1 V, time=108.0d"
nature2018_li,ToS,period_T,extdata_fig5_17,near,431.48797,,s,source_data_extdata_fig5.xlsx/c/row18,"condition=-0.1 V, time=111.0d"
nature2018_li,ToS,period_T,extdata_fig5_17,far,433.18921,,s,source_data_extdata_fig5.xlsx/c/row18,"condition=-0.1 V, time=114.0d"
nature2018_li,ToS,period_T,extdata_fig5_18,near,431.48804,,s,source_data_extdata_fig5.xlsx/c/row19,"condition=-0.1 V, time=117.0d"
nature2018_li,ToS,period_T,extdata_fig5_18,far,433.18925,,s,source_data_extdata_fig5.xlsx/c/row19,"condition=-0.1 V, time=120.0d"
nature2018_li,ToS,period_T,extdata_fig5_19,near,431.48808,,s,source_data_extdata_fig5.xlsx/c/row20,"condition=-0.1 V, time=123.0d"
nature2018_li,ToS,period_T,extdata_fig5_19,far,433.18935,,s,source_data_extdata_fig5.xlsx/c/row20,"condition=-0.1 V, time=126.0d"
nature2018_li,ToS,period_T,extdata_fig5_20,near,431.48528,,s,source_data_extdata_fig5.xlsx/c/row21,"condition=Ground, time=132.0d"
nature2018_li,ToS,period_T,extdata_fig5_20,far,433.18647,,s,source_data_extdata_fig5.xlsx/c/row21,"condition=Ground, time=135.0d"
nature2018_li,ToS,period_T,extdata_fig5_21,near,431.48534,,s,source_data_extdata_fig5.xlsx/c/row22,"condition=Ground, time=138.0d"
